You did not select any stats, using -cdngy by default.
--total-cpu-usage-- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw 
 10   5  83   2   0|3030k 8920k|   0     0 |   0     0 |1090  1908 
  0   0 100   0   0|   0     0 |  66B    0 |   0     0 |  28    36 
  0   0 100   0   0|   0     0 |  60B   54B|   0     0 |  22    33 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  33    51 
  0   0 100   0   0|   0  8192B|   0     0 |   0     0 |  27    35 
  0   0 100   0   0|   0     0 |  60B   54B|   0     0 |  33    42 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  21    32 
  0   0 100   0   0|   0    72k|   0     0 |   0     0 |  31    48 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  25    30 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  22    39 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  19    30 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  20    30 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  18    28 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  26    38 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  23    36 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  37    49 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  21    35 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  23    37 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  20    32 
  0   0 100   0   0|   0  8192B|   0     0 |   0     0 |  29    46 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  34    47 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 | 194   325 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 | 110   179 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  28    42 
  0   0 100   0   0|   0     0 |   0    70B|   0     0 |  21    33 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  25    42 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  20    30 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  21    34 
  0   0 100   0   0|   0     0 |   0     0 |   0     0 |  17    26 
  0   0 100   0   0|   0     0 | 606B  540B|   0     0 |  50    75 
  0   0 100   0   0|   0     0 | 462B  258B|   0     0 |  39    50 
  0   0 100   0   0|   0     0 | 840B  510B|   0     0 |  61    86 
  0   0  98   2   0|1024k    0 |1164B 2114B|   0     0 | 152   213 
  0   0 100   0   0|   0     0 |1156B 1958B|   0     0 |  68    89 
  0   0 100   0   0|   0     0 | 564B 1178B|   0     0 |  47    63 
  0   0 100   0   0|   0    24k| 930B 2396B|   0     0 |  94   116 
